Status,FeatureType,PropertyName,Borough,Longitude,Latitude
Activated,Buckner Box Spray Adapter,Lozada Playground,Bronx,"1,004,962.76","233,567.24"
Activated,Misting Station,D'Auria-Murphy Triangle,Bronx,"1,014,939.72","250,177.25"
Activated,Misting Station,Fred Samuel Playground,Manhattan,"1,001,013.00","236,917.19"
Activated,Misting Station,William McCray Playground,Manhattan,"1,001,512.81","236,398.72"
Broken,Misting Station,Powell Playground,Brooklyn,"1,010,663.42","183,870.15"
Activated,Drinking Fountain Spray Adapter,Marconi Park,Queens,"1,040,966.74","192,195.24"
Activated,Misting Station,Captain Rivera Playground,Bronx,"1,010,012.10","237,347.45"
Activated,Misting Station,Macombs Dam Park,Bronx,"1,003,716.52","241,066.46"
Activated,Misting Station,Behagen Playground,Bronx,"1,011,649.78","240,043.61"
Activated,Misting Station,Nelson Playground,Bronx,"1,004,455.41","243,465.20"
Activated,Misting Station,Beanstalk Playground,Bronx,"1,007,295.39","250,429.25"
Activated,Misting Station,Gouverneur Playground,Bronx,"1,011,012.61","243,787.19"
Activated,Misting Station,Noble Playground,Bronx,"1,019,519.11","244,204.27"
Activated,RPZ Spray Adapter,Andrews Grove,Queens,"996,719.83","210,129.43"
Activated,Drinking Fountain Spray Adapter,Playground One Forty,Queens,"1,039,464.38","185,176.29"
Activated,Drinking Fountain Spray Adapter,Springfield Park,Queens,"1,050,102.82","179,760.43"
Activated,Ground Hydrant Spray Adapter,Asser Levy Park,Brooklyn,"991,861.73","148,929.98"
Broken,Drinking Fountain Spray Adapter,Ethan Allen Playground,Brooklyn,"1,015,717.70","178,220.95"
Broken,Drinking Fountain Spray Adapter,Herbert Von King Park,Brooklyn,"999,305.94","190,596.93"
Broken,Drinking Fountain Spray Adapter,Robert E. Venable Park,Brooklyn,"1,021,720.37","185,067.61"
Broken,Drinking Fountain Spray Adapter,Poor Richard's Playground,Manhattan,"1,000,128.41","228,085.34"
Broken,Misting Station,Marion Hopkinson Playground,Brooklyn,"1,008,359.08","187,680.45"
Broken,Misting Station,South Pacific Playground,Brooklyn,"1,006,569.02","185,461.34"
Activated,CS Spray Adapter,Nautilus Playground,Brooklyn,"985,372.58","147,569.15"
Activated,Misting Station,Lafayette Playground,Brooklyn,"988,377.28","156,062.08"
Activated,Misting Station,Irving Square Park,Brooklyn,"1,009,277.87","191,408.53"
Broken,Drinking Fountain Spray Adapter,Breukelen Ballfields,Brooklyn,"1,013,759.87","177,546.75"
Activated,CS Spray Adapter,Carver Playground,Brooklyn,"1,006,330.83","187,201.02"
Activated,Misting Station,Lafayette Playground,Brooklyn,"1,003,650.75","191,577.89"
Broken,Misting Station,South Oxford Park,Brooklyn,"991,808.73","188,318.87"
Activated,Buckner Box Spray Adapter,Detective Keith L Williams Park,Queens,"1,043,856.42","195,459.01"
Activated,Drinking Fountain Spray Adapter,Wayanda Park,Queens,"1,056,700.34","198,375.61"
Activated,Drinking Fountain Spray Adapter,Pat Williams Playground,Queens,"1,059,209.68","199,214.59"
Broken,Misting Station,Mae Grant Playground,Manhattan,"998,263.60","227,981.47"
Activated,Drinking Fountain Spray Adapter,Moore Playground,Manhattan,"1,001,191.94","234,193.64"
Activated,Misting Station,Moore Playground,Manhattan,"1,001,269.23","234,212.60"
Activated,Drinking Fountain Spray Adapter,Howard Bennett Playground,Manhattan,"1,001,164.00","235,825.06"
Activated,Misting Station,Mitchel Square,Manhattan,"1,000,873.67","245,381.84"
,Misting Station,Monsignor Kett Playground,Manhattan,"1,006,203.29","253,597.17"
Activated,Misting Station,Robert L. Clinkscales Playground and Community Garden,Manhattan,"1,000,880.15","239,033.31"
Activated,Drinking Fountain Spray Adapter,Detective Keith L Williams Park,Queens,"1,044,125.50","195,533.04"
Activated,Buckner Box Spray Adapter,Courtney Callender Playground,Manhattan,"1,000,781.78","234,423.26"
Activated,Buckner Box Spray Adapter,Courtney Callender Playground,Manhattan,"1,000,918.57","234,459.47"
Activated,Buckner Box Spray Adapter,James Weldon Johnson Playground,Manhattan,"1,000,336.96","229,671.64"
Broken,Misting Station,Sledge Playground,Brooklyn,"1,012,666.29","171,764.15"
Broken,Drinking Fountain Spray Adapter,100% Playground,Brooklyn,"1,012,173.53","174,843.55"
Activated,CS Spray Adapter,Eleanor Roosevelt Playground,Brooklyn,"1,002,054.69","191,656.20"
Broken,Ground Hydrant Spray Adapter,Kennedy King Playground,Brooklyn,"1,005,975.67","179,245.50"
Activated,Misting Station,Sternberg Park,Brooklyn,"998,764.63","196,539.31"
Broken,RPZ Spray Adapter,Green Central Knoll,Brooklyn,"1,002,867.71","194,796.89"
Activated,Misting Station,Lafayette Playground,Brooklyn,"988,407.94","155,714.12"
Activated,RPZ Spray Adapter,Lewis Playground,Brooklyn,"1,001,454.13","192,602.83"
Broken,Misting Station,Lincoln Terrace / Arthur S. Somers Park,Brooklyn,"1,004,296.22","182,009.47"
